Year,Current residence,Region,Moved to,Num_moved
2018,Wyoming,West_states,Alabama,172.0
2018,Puerto Rico,,Alabama,629.0
2010,Alabama,South_states,Alaska,3013.0
2010,Alaska,West_states,Alaska,
2010,Arizona,West_states,Alaska,3109.0
2010,Arkansas,South_states,Alaska,934.0
2010,California,West_states,Alaska,9579.0
2010,Colorado,West_states,Alaska,2225.0
2010,Connecticut,Northeast_states,Alaska,0.0
2010,Delaware,South_states,Alaska,68.0
2010,District of Columbia ,South_states,Alaska,591.0
2010,Florida,South_states,Alaska,5887.0
2010,Georgia,South_states,Alaska,3645.0
2010,Hawaii,West_states,Alaska,743.0
2010,Idaho,West_states,Alaska,3264.0
2010,Illinois,Midwest_states,Alaska,1764.0
2010,Indiana,Midwest_states,Alaska,177.0
2010,Iowa,Midwest_states,Alaska,519.0
2010,Kansas,Midwest_states,Alaska,1050.0
2010,Kentucky,South_states,Alaska,3017.0
2010,Louisiana,South_states,Alaska,1504.0
2010,Maine,Northeast_states,Alaska,424.0
2010,Maryland,South_states,Alaska,2672.0
2010,Massachusetts,Northeast_states,Alaska,1891.0
2010,Michigan,Midwest_states,Alaska,1040.0
2010,Minnesota,Midwest_states,Alaska,1169.0
2010,Mississippi,South_states,Alaska,1192.0
2010,Missouri,Midwest_states,Alaska,1051.0
2010,Montana,West_states,Alaska,650.0
2010,Nebraska,Midwest_states,Alaska,35.0
2010,Nevada,West_states,Alaska,511.0
2010,New Hampshire,Northeast_states,Alaska,0.0
2010,New Jersey,Northeast_states,Alaska,383.0
2010,New Mexico,West_states,Alaska,969.0
2010,New York,Northeast_states,Alaska,5070.0
2010,North Carolina,South_states,Alaska,1618.0
2010,North Dakota,Midwest_states,Alaska,1066.0
2010,Ohio,Midwest_states,Alaska,1556.0
2010,Oklahoma,South_states,Alaska,1397.0
2010,Oregon,West_states,Alaska,2027.0
2010,Pennsylvania,Northeast_states,Alaska,2185.0
2010,Rhode Island,Northeast_states,Alaska,0.0
2010,South Carolina,South_states,Alaska,1670.0
2010,South Dakota,Midwest_states,Alaska,25.0
2010,Tennessee,South_states,Alaska,343.0
2010,Texas,South_states,Alaska,11613.0
2010,Utah,West_states,Alaska,1798.0
2010,Vermont,Northeast_states,Alaska,184.0
2010,Virginia,South_states,Alaska,3296.0
2010,Washington,West_states,Alaska,5644.0
2010,West Virginia,South_states,Alaska,1326.0
2010,Wisconsin,Midwest_states,Alaska,798.0
2010,Wyoming,West_states,Alaska,0.0
2010,Puerto Rico,,Alaska,156.0
2011,Alabama,South_states,Alaska,3013.0
2011,Alaska,West_states,Alaska,
2011,Arizona,West_states,Alaska,3109.0
2011,Arkansas,South_states,Alaska,934.0
2011,California,West_states,Alaska,9579.0
2011,Colorado,West_states,Alaska,2225.0
2011,Connecticut,Northeast_states,Alaska,0.0
2011,Delaware,South_states,Alaska,68.0
2011,District of Columbia ,South_states,Alaska,591.0
2011,Florida,South_states,Alaska,5887.0
2011,Georgia,South_states,Alaska,3645.0
2011,Hawaii,West_states,Alaska,743.0
2011,Idaho,West_states,Alaska,3264.0
2011,Illinois,Midwest_states,Alaska,1764.0
2011,Indiana,Midwest_states,Alaska,177.0
2011,Iowa,Midwest_states,Alaska,519.0
2011,Kansas,Midwest_states,Alaska,1050.0
2011,Kentucky,South_states,Alaska,3017.0
2011,Louisiana,South_states,Alaska,1504.0
2011,Maine,Northeast_states,Alaska,424.0
2011,Maryland,South_states,Alaska,2672.0
2011,Massachusetts,Northeast_states,Alaska,1891.0
2011,Michigan,Midwest_states,Alaska,1040.0
2011,Minnesota,Midwest_states,Alaska,1169.0
2011,Mississippi,South_states,Alaska,1192.0
2011,Missouri,Midwest_states,Alaska,1051.0
2011,Montana,West_states,Alaska,650.0
2011,Nebraska,Midwest_states,Alaska,35.0
